trade_number,position_type,open_time,duration,sma_short_value,sma_long_value,sma_signal,macd_value,macd_long_value,macd_signal,rsi_value,rsi_signal,wallet
41,open,2024-07-28 19:10:00,0,67868.83519999994,67725.49514999997,buy,112.3891990751581,106.85056842848655,buy,67.158632410075,neutral,900.4206719325581
41,close,2024-07-29 02:30:00,0,68513.3024,68044.56040000003,buy,197.55871234173537,119.45118095859107,buy,77.1468977179105,sell,930.5163561375491
42,open,2024-07-28 21:35:00,0,68068.75079999995,67741.99554999998,buy,-32.34671219883603,-33.3125255955952,buy,54.40084965838447,neutral,930.5163561375491
42,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,955.3143593454797
43,open,2024-07-28 21:40:00,0,68073.29359999996,67746.40124999998,buy,-25.75520102145674,-31.801060680767506,buy,51.50944763420596,neutral,955.3143593454797
43,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,981.7367822662638
44,open,2024-07-28 21:45:00,0,68076.89379999995,67751.20999999998,buy,-17.834840970564983,-29.007816738727,buy,53.914378549495034,neutral,981.7367822662638
44,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,1007.987196294126
45,open,2024-07-28 21:50:00,0,68079.19319999995,67754.85994999998,buy,-16.05376297091425,-26.41700598516445,buy,48.99666823467646,neutral,1007.987196294126
45,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,1036.682105301439
46,open,2024-07-28 21:55:00,0,68081.99179999996,67758.89954999999,buy,-13.36415755271446,-23.806436298674452,buy,50.17201125001992,neutral,1036.682105301439
46,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,1065.763246134285
47,open,2024-07-28 22:00:00,0,68085.39199999995,67763.06954999999,buy,-4.078293962345924,-19.860807831408746,buy,56.93046222135716,neutral,1065.763246134285
47,close,2024-07-29 02:20:00,0,68457.55880000001,68024.92460000004,buy,128.0420448546065,86.78873664142213,buy,72.28242627615633,sell,1099.8047613530487
48,open,2024-07-28 22:05:00,0,68086.82259999996,67766.32954999998,buy,-0.7459701355692232,-16.03784029224084,buy,52.57052388700926,neutral,1099.8047613530487
48,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,1129.4089975989198
49,open,2024-07-28 22:10:00,0,68088.90259999996,67769.44949999999,buy,3.788653604904539,-12.072541512811764,buy,54.37702897640339,neutral,1129.4089975989198
49,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,1159.0028134114207
50,open,2024-07-28 22:15:00,0,68089.19639999996,67772.06944999998,buy,-0.9988480640022317,-9.857802823049857,buy,46.172688991391,neutral,1159.0028134114207
50,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,1192.9651079741127
51,open,2024-07-28 22:20:00,0,68090.03619999996,67775.30939999998,buy,1.3243212616507662,-7.621378006109732,buy,51.88523513291759,neutral,1192.9651079741127
51,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,1225.219129044621
52,open,2024-07-28 22:25:00,0,68091.98559999996,67779.41999999998,buy,17.4987209183746,-2.5973582212128647,buy,62.14072610522272,neutral,1225.219129044621
52,close,2024-07-29 02:20:00,0,68457.55880000001,68024.92460000004,buy,128.0420448546065,86.78873664142213,buy,72.28242627615633,sell,1259.7523732676789
53,open,2024-07-28 22:30:00,0,68091.76599999995,67783.05754999998,buy,20.907054314156994,2.1035242858611074,buy,54.280839418055805,neutral,1259.7523732676789
53,close,2024-07-29 02:20:00,0,68457.55880000001,68024.92460000004,buy,128.0420448546065,86.78873664142213,buy,72.28242627615633,sell,1299.520770988837
54,open,2024-07-28 22:35:00,0,68088.27979999996,67786.37499999999,buy,20.386779290187405,5.760175286726367,buy,51.974917832983195,neutral,1299.520770988837
54,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,1333.514775790182
55,open,2024-07-28 22:40:00,0,68085.72239999996,67789.44499999999,buy,20.106600518818595,8.629460333144813,buy,52.24117039468034,neutral,1333.514775790182
55,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,1368.21906207298
56,open,2024-07-28 22:45:00,0,68081.06219999996,67792.26994999999,buy,14.472767002560431,9.798121667027937,buy,48.102026279612446,neutral,1368.21906207298
56,close,2024-07-29 02:15:00,0,68433.92880000001,68016.00710000003,buy,92.2050725678273,76.47540958812604,buy,69.36270393303911,neutral,1406.47529170097
